CLIENT_ID,AGE,MAN,INCOME,IP_FLAG,SME_FLAG,REFUGEE_FLAG,PDN,paid_off_count,active_count,active_sum,max_term,credits_delay_count,cards_count,MATRIAL_Вдовец / Вдова,MATRIAL_Гражданский брак,MATRIAL_Женат / замужем,MATRIAL_Не женат / не замужем,MATRIAL_Неизвестно,MATRIAL_Разведен / Разведена,CС_LIMIT_NVAL,СС_GRACE_PERIOD,CURR_RATE,delay,PC_bb,PC_blockbuster,PC_grace,PC_other
1264,55,0,150000,0,0,0,60.2,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,327,33.9,0,0,1,0,0
1265,48,1,65000,0,0,0,30.4,0,0,0.0,0,0,1,0,0,1,0,0,0,200000.0,55,31.9,0,0,1,0,0
1276,29,0,87672,0,0,0,39.2,0,1,58618.0,18,0,1,0,0,0,0,1,0,110001.0,55,14.9,0,0,0,1,0
1278,30,1,40000,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,1,0,115000.0,55,14.9,0,0,0,1,0
1646,37,1,30000,0,0,0,34.3,0,1,19860.0,24,0,1,0,0,1,0,0,0,60000.0,86,14.9,0,0,0,1,0
1648,32,0,75000,0,0,0,19.9,0,0,0.0,0,0,1,0,0,0,0,1,0,121000.0,55,14.9,0,0,0,1,0
1682,46,1,35000,0,0,0,10.3,0,0,0.0,0,0,1,0,0,0,1,0,0,104000.0,146,14.9,0,0,0,1,0
1692,49,1,100000,0,0,0,36.1,0,1,499998.78,36,0,1,0,0,0,1,0,0,60001.0,177,31.9,0,0,1,0,0
1693,39,1,28000,0,0,0,22.0,0,0,0.0,0,0,1,0,0,0,0,1,0,70000.0,359,31.9,0,0,1,0,0
1706,40,0,130000,0,0,0,2.5,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,147,31.9,0,0,1,0,0
1711,49,1,60000,0,0,0,57.9,0,0,0.0,0,0,1,0,0,0,1,0,0,40000.0,298,31.9,0,0,1,0,0
1750,61,1,120000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,1,0,300000.0,115,14.9,0,0,0,1,0
1835,34,0,120000,0,0,0,48.5,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,146,33.9,0,0,0,1,0
1838,38,0,80000,0,0,0,49.2,0,0,0.0,0,0,2,0,0,0,0,1,0,50000.0,86,14.9,0,0,0,1,0
1838,38,0,80000,0,0,0,49.2,0,0,0.0,0,0,2,0,0,0,0,1,0,59000.0,328,31.9,0,0,1,0,0
1973,55,1,64000,0,0,0,25.6,0,0,0.0,0,0,1,0,0,0,0,1,0,248000.0,115,29.9,1,0,0,1,0
1974,23,0,120000,0,0,0,23.5,0,0,0.0,0,0,1,0,0,0,0,1,0,29500.0,359,33.9,0,0,1,0,0
2025,40,0,45000,0,0,0,68.8,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,55,24.9,0,1,0,0,0
2027,37,1,150000,0,0,0,33.1,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,87,31.9,0,0,1,0,0
2033,25,0,80000,0,0,0,26.1,0,0,0.0,0,0,1,0,0,0,0,1,0,20000.0,56,31.9,1,0,1,0,0
2038,41,1,39000,0,0,0,23.6,0,1,521267.74,60,0,1,0,0,0,0,1,0,100000.0,358,33.9,0,0,1,0,0
2039,30,0,130000,0,0,0,37.0,0,0,0.0,0,0,1,0,0,1,0,0,0,75000.0,327,31.9,0,0,1,0,0
2049,61,1,150000,0,0,0,54.8,0,0,0.0,0,0,1,0,0,0,0,1,0,299001.0,327,31.9,0,0,1,0,0
2056,50,0,60000,0,0,0,43.3,1,0,0.0,18,0,1,0,0,0,0,1,0,175000.0,177,28.9,0,1,0,0,0
2059,39,1,60000,0,0,0,22.6,0,0,0.0,0,0,1,0,0,1,0,0,0,260000.0,86,14.9,0,0,0,1,0
2064,31,1,50000,0,0,0,34.8,0,1,190000.0,36,0,1,0,0,0,0,1,0,90001.0,328,31.9,0,0,1,0,0
2066,41,1,50000,0,0,0,102.4,0,0,0.0,0,0,1,0,0,0,0,1,0,140000.0,55,14.9,0,0,0,1,0
2084,41,1,130000,0,0,0,28.1,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,329,31.9,0,0,1,0,0
2095,51,0,60000,0,0,0,48.9,0,1,144055.0,24,0,2,0,0,0,0,1,0,30000.0,344,31.9,0,0,1,0,0
2095,51,0,60000,0,0,0,48.9,0,1,144055.0,24,0,2,0,0,0,0,1,0,100000.0,117,14.9,0,0,0,1,0
2097,58,0,50000,0,0,0,27.0,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,146,31.9,0,0,1,0,0
2112,39,1,80000,0,0,0,30.1,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,360,31.9,0,0,1,0,0
2124,63,0,70000,0,0,0,16.7,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,115,31.9,0,0,0,1,0
2126,35,1,55000,0,0,0,16.5,0,0,0.0,0,0,1,0,0,1,0,0,0,300000.0,56,14.9,0,0,0,1,0
2132,51,1,30000,0,0,0,23.0,0,1,20269.08,12,0,1,0,0,0,0,1,0,100000.0,292,27.9,0,0,1,0,0
2138,52,1,70000,0,0,0,40.5,0,0,0.0,0,0,1,0,0,0,0,1,0,70000.0,354,31.9,0,0,1,0,0
2140,52,1,20000,0,0,0,18.0,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,329,31.9,0,0,1,0,0
2147,59,1,180000,0,0,0,23.3,0,0,0.0,0,0,2,0,0,0,1,0,0,40000.0,86,31.9,0,0,1,0,0
2147,59,1,180000,0,0,0,23.3,0,0,0.0,0,0,2,0,0,0,1,0,0,140000.0,146,69.9,0,0,0,1,0
2150,34,1,35000,0,0,0,74.3,0,0,0.0,0,0,1,0,0,0,0,1,0,20000.0,53,18.9,0,1,0,0,0
2201,47,1,43000,0,0,0,84.9,0,0,0.0,0,0,1,0,0,1,0,0,0,29500.0,299,31.9,0,0,1,0,0
2298,44,1,95000,0,0,0,77.3,0,1,1284998.73,60,0,1,0,0,0,0,1,0,30000.0,177,31.9,0,0,1,0,0
2321,66,1,34800,0,0,0,19.6,0,0,0.0,0,0,1,0,0,0,0,1,0,100000.0,190,27.9,0,0,1,0,0
2326,49,1,201000,0,0,0,25.6,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,326,31.9,0,0,1,0,0
2339,47,0,100000,0,0,0,89.8,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,320,31.9,0,0,1,0,0
2343,51,0,120000,0,0,0,76.6,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,53,18.9,0,1,0,0,0
2373,63,1,30000,0,0,0,16.0,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,117,31.9,0,0,0,1,0
2377,39,1,120000,0,0,0,7.2,0,0,0.0,0,0,1,0,0,1,0,0,0,60000.0,83,14.9,0,0,0,1,0
2378,29,0,80000,0,0,0,122.2,0,0,0.0,0,0,1,0,0,1,0,0,0,75001.0,338,31.9,0,0,1,0,0
2487,48,1,250000,0,0,0,25.9,0,0,0.0,0,0,1,0,0,1,0,0,0,29500.0,318,31.9,0,0,1,0,0
2563,30,1,115000,0,0,0,41.8,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,115,14.9,0,0,0,1,0
2602,61,0,250000,0,0,0,18.7,0,0,0.0,0,0,1,0,0,0,0,1,0,301000.0,274,14.9,0,0,0,0,1
2651,36,0,150000,0,0,0,27.4,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,224,27.9,0,0,1,0,0
2875,43,1,40000,0,0,0,45.4,0,1,100000.0,48,0,1,0,0,0,0,1,0,60000.0,115,31.9,1,0,1,0,0
2910,29,0,66400,0,0,0,64.8,0,0,0.0,0,0,1,0,0,1,0,0,0,80000.0,292,14.9,0,0,0,1,0
2920,41,1,50000,0,0,0,45.1,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,359,31.9,0,0,1,0,0
2934,39,0,75000,0,0,0,55.5,0,1,299998.12,36,0,1,0,0,0,0,1,0,40000.0,85,28.9,1,0,0,1,0
2961,28,0,100000,0,0,0,12.5,0,0,0.0,0,0,1,0,0,0,1,0,0,60000.0,147,14.9,0,0,0,1,0
3079,48,0,203000,0,0,0,81.9,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,288,31.9,0,0,1,0,0
3103,38,0,100000,0,0,0,67.0,0,2,1826900.0,60,0,1,0,0,0,0,1,0,50000.0,55,69.9,0,0,0,1,0
3105,51,0,120000,0,0,0,18.1,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,169,27.9,0,0,1,0,0
3109,53,1,90000,0,0,0,87.7,1,0,0.0,57,0,1,0,0,0,0,1,0,29500.0,147,27.9,0,0,1,0,0
3116,39,0,60000,0,0,0,102.7,0,0,0.0,0,0,1,0,0,1,0,0,0,40000.0,55,14.9,0,0,0,1,0
3144,25,0,55000,0,0,0,27.6,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,326,31.9,0,0,1,0,0
3145,25,1,250000,0,0,0,9.9,0,1,117110.55,60,0,1,0,0,0,0,1,0,118810.89,323,31.9,0,0,1,0,0
3167,42,1,65000,0,0,0,22.7,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,358,31.9,0,0,1,0,0
3177,43,0,110000,0,0,0,107.1,0,0,0.0,0,0,1,0,0,0,0,1,0,95000.0,56,14.9,0,0,0,1,0
3188,44,1,40000,0,0,0,146.1,0,0,0.0,0,0,1,0,0,0,1,0,0,30000.0,56,14.9,0,0,0,1,0
3197,24,0,100000,0,0,0,37.6,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,327,31.9,0,0,1,0,0
3201,67,1,308100,0,0,0,29.1,0,0,0.0,0,0,1,0,0,0,0,1,0,29000.0,86,34.9,1,0,0,1,0
3230,44,1,42000,0,0,0,26.1,0,0,0.0,0,0,1,0,0,0,1,0,0,40000.0,324,31.9,0,0,1,0,0
3428,39,0,120000,0,0,0,3.6,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,357,31.9,0,0,1,0,0
3435,42,1,65000,0,0,0,72.4,0,0,0.0,0,0,1,0,0,0,0,1,0,160001.0,360,31.9,0,0,1,0,0
3438,60,1,61000,0,0,0,41.8,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,322,31.9,0,0,1,0,0
3439,27,1,45000,0,0,0,65.9,0,0,0.0,0,0,1,0,0,0,0,1,0,40000.0,55,31.9,1,0,1,0,0
3447,43,1,108000,0,0,0,36.6,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,352,31.9,0,0,1,0,0
3449,46,1,120000,0,0,0,69.8,0,0,0.0,0,0,1,0,0,0,0,1,0,29500.0,115,31.9,0,0,1,0,0
3450,25,1,60000,0,0,0,31.5,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,326,31.9,0,0,1,0,0
3451,51,0,75000,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,353,31.9,0,0,1,0,0
3460,43,0,150000,0,0,0,35.3,0,0,0.0,0,0,1,0,0,1,0,0,0,299001.0,260,31.9,0,0,1,0,0
3464,48,1,80000,0,0,0,32.6,0,0,0.0,0,0,1,0,0,0,0,1,0,101000.0,233,27.9,0,0,1,0,0
3485,35,0,100000,0,0,0,36.0,0,0,0.0,0,0,1,0,0,0,0,1,0,100000.0,86,20.9,0,1,0,0,0
3517,28,0,45000,0,0,0,45.3,0,0,0.0,0,0,1,0,0,0,1,0,0,30000.0,115,14.9,0,0,0,1,0
3520,51,0,30000,0,0,0,50.9,0,1,28159.0,24,0,1,0,0,0,0,1,0,29501.0,358,31.9,0,0,1,0,0
3521,36,0,40000,0,0,0,76.7,0,0,0.0,0,0,1,0,0,0,1,0,0,75001.0,326,31.9,0,0,1,0,0
3550,40,0,130000,0,0,0,5.6,0,0,0.0,0,0,1,0,0,0,1,0,0,120000.0,237,27.9,0,0,1,0,0
3559,27,1,77000,0,0,0,71.5,0,0,0.0,0,0,1,0,0,0,1,0,0,50001.0,323,31.9,0,0,1,0,0
3592,36,0,45000,0,0,0,13.4,0,0,0.0,0,0,1,0,0,1,0,0,0,200000.0,146,14.9,0,0,0,1,0
3597,44,0,95000,0,0,0,9.4,0,0,0.0,0,0,1,0,0,0,0,0,1,299000.0,177,31.9,0,0,1,0,0
3600,29,1,65000,0,0,0,70.7,0,0,0.0,0,0,1,0,0,1,0,0,0,40001.0,358,31.9,0,0,1,0,0
3629,27,1,80000,0,0,0,55.7,0,0,0.0,0,0,1,0,0,1,0,0,0,200001.0,356,31.9,0,0,1,0,0
3647,44,1,85000,0,0,0,43.7,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,327,31.9,0,0,1,0,0
3648,51,1,80000,0,0,0,26.1,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,329,31.9,0,0,1,0,0
3652,24,1,85000,0,0,0,51.0,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,329,31.9,0,0,1,0,0
3653,33,1,190000,0,0,0,34.5,0,0,0.0,0,0,1,0,0,0,0,1,0,120001.0,356,31.9,0,0,1,0,0
3656,42,1,114000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,1,0,75000.0,360,31.9,0,0,1,0,0
3659,47,1,180000,0,0,0,11.2,0,0,0.0,0,0,1,0,0,0,0,1,0,75000.0,327,31.9,0,0,1,0,0
3660,53,1,300000,0,0,0,18.3,0,0,0.0,0,0,1,0,0,0,0,1,0,200001.0,326,31.9,0,0,1,0,0
3661,37,0,95000,0,0,0,13.1,0,0,0.0,0,0,1,0,0,0,0,1,0,10000.0,359,31.9,0,0,1,0,0
3662,34,0,78000,0,0,0,8.0,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,358,31.9,0,0,1,0,0
3723,32,0,100000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,327,31.9,0,0,1,0,0
3727,40,0,48000,0,0,0,40.1,0,0,0.0,0,0,1,0,0,0,0,1,0,60001.0,305,31.9,0,0,1,0,0
3728,38,1,55000,0,0,0,86.5,0,0,0.0,0,0,1,0,0,0,0,1,0,50001.0,326,31.9,0,0,1,0,0
3729,48,1,70000,0,0,0,41.3,0,0,0.0,0,0,1,0,0,0,0,1,0,100001.0,328,31.9,0,0,1,0,0
3733,38,0,75000,0,0,0,26.5,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,340,9.9,0,0,1,0,0
3735,28,1,70000,0,0,0,13.3,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,359,31.9,0,0,1,0,0
3737,27,1,35000,0,0,0,37.0,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,55,31.9,0,0,1,0,0
3743,58,1,50000,0,0,0,14.7,0,0,0.0,0,0,2,0,0,0,0,1,0,201000.0,146,14.9,0,0,0,1,0
3743,58,1,50000,0,0,0,14.7,0,0,0.0,0,0,2,0,0,0,0,1,0,150000.0,352,33.9,0,0,1,0,0
3751,38,1,225000,0,0,0,30.7,0,1,299998.82,24,0,1,0,0,0,0,1,0,300001.0,85,49.9,0,0,0,1,0
3808,39,1,35000,0,0,0,64.1,0,0,0.0,0,0,1,0,0,0,0,1,0,152000.0,462,49.9,0,0,0,1,0
3843,50,0,150000,0,0,0,76.7,0,0,0.0,0,0,1,0,0,0,0,1,0,300000.0,115,14.9,0,0,0,1,0
3849,53,0,80000,0,0,0,11.2,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,359,31.9,0,0,1,0,0
3857,54,1,60000,0,0,0,73.7,0,0,0.0,0,0,1,0,0,0,0,1,0,90000.0,146,69.9,0,0,0,1,0
3918,50,0,115000,0,0,0,30.6,0,0,0.0,0,0,1,0,0,0,0,1,0,40000.0,346,31.9,0,0,1,0,0
3950,53,0,90000,0,0,0,68.7,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,146,14.9,0,0,0,1,0
3977,40,1,60000,0,0,0,62.4,0,0,0.0,0,0,1,0,0,0,0,1,0,100000.0,54,18.9,0,1,0,0,0
3979,32,1,150000,0,0,0,42.4,0,0,0.0,0,0,1,0,0,0,0,1,0,250000.0,71,31.9,0,0,1,0,0
3988,33,1,95000,0,0,0,54.3,0,1,101480.0,36,0,1,0,0,1,0,0,0,30000.0,69,29.9,0,0,0,0,1
3999,34,1,60000,0,0,0,65.0,0,0,0.0,0,0,1,0,0,0,0,1,0,29500.0,359,31.9,0,0,1,0,0
4000,39,0,100000,0,0,0,51.8,0,0,0.0,0,0,1,0,0,1,0,0,0,55000.0,327,31.9,0,0,1,0,0
4004,48,1,50000,0,0,0,56.2,0,0,0.0,0,0,1,0,0,0,0,0,1,45000.0,328,31.9,0,0,1,0,0
4005,44,0,150000,0,0,0,49.1,0,0,0.0,0,0,1,0,0,0,0,1,0,268000.0,352,33.9,0,0,1,0,0
4006,50,1,50000,0,0,0,34.1,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,86,14.9,0,0,0,1,0
4102,35,1,100000,0,0,0,54.9,0,0,0.0,0,0,2,0,0,0,0,1,0,40000.0,146,14.9,0,0,0,1,0
4102,35,1,100000,0,0,0,54.9,0,0,0.0,0,0,2,0,0,0,0,1,0,75000.0,202,27.9,0,0,1,0,0
4143,46,1,40000,0,0,0,10.9,0,1,720000.0,60,0,2,0,0,0,0,1,0,100000.0,86,23.9,0,1,0,0,0
4143,46,1,40000,0,0,0,10.9,0,1,720000.0,60,0,2,0,0,0,0,1,0,10000.0,86,14.9,0,0,0,1,0
4194,63,1,46000,0,0,0,191.5,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,56,69.9,0,0,0,1,0
4200,54,0,150000,0,0,0,44.0,0,0,0.0,0,0,1,0,0,1,0,0,0,80000.0,358,31.9,0,0,1,0,0
4204,22,1,30000,0,0,0,22.4,0,0,0.0,0,0,1,0,0,0,1,0,0,100000.0,325,31.9,0,0,1,0,0
4229,40,0,80000,0,0,0,42.2,0,0,0.0,0,0,1,0,0,1,0,0,0,30000.0,177,31.9,0,0,1,0,0
4266,46,1,53500,0,0,0,63.8,0,0,0.0,0,0,1,0,0,1,0,0,0,50000.0,359,31.9,0,0,1,0,0
4268,54,1,65000,0,0,0,129.3,0,0,0.0,0,0,1,0,0,0,0,1,0,138000.0,56,34.9,0,0,0,1,0
4286,36,1,130000,0,0,0,16.1,0,0,0.0,0,0,1,0,0,0,0,0,1,60000.0,146,69.9,0,0,0,1,0
4288,39,1,60000,0,0,0,15.5,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,323,31.9,0,0,1,0,0
4299,35,1,50000,0,0,0,18.3,0,0,0.0,0,0,1,0,0,0,0,1,0,75000.0,355,31.9,0,0,1,0,0
4320,38,1,68000,0,0,0,32.3,0,0,0.0,0,0,1,0,0,0,0,1,0,16000.0,180,27.9,0,0,1,0,0
4333,25,0,90000,0,0,0,87.5,0,0,0.0,0,0,1,0,0,0,0,1,0,75001.0,323,31.9,0,0,1,0,0
4339,27,0,150000,0,0,0,14.1,0,0,0.0,0,0,1,0,0,0,0,1,0,150000.0,330,31.9,0,0,1,0,0
4374,35,1,115000,0,0,0,34.5,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,360,31.9,0,0,1,0,0
4419,53,1,47000,0,0,0,38.4,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,86,35.9,0,0,0,1,0
4422,44,0,280000,0,0,0,24.5,0,0,0.0,0,0,1,0,0,0,0,1,0,100000.0,55,29.9,1,0,0,1,0
4432,70,1,60600,0,0,0,34.9,0,0,0.0,0,0,2,0,0,0,0,1,0,40000.0,86,69.9,0,0,0,1,0
4432,70,1,60600,0,0,0,34.9,0,0,0.0,0,0,2,0,0,0,0,1,0,30000.0,94,33.9,0,0,1,0,0
4438,49,0,100000,0,0,0,15.7,0,0,0.0,0,0,2,0,0,0,0,0,1,200000.0,56,14.9,0,0,0,1,0
4438,49,0,100000,0,0,0,15.7,0,0,0.0,0,0,2,0,0,0,0,0,1,60000.0,359,31.9,0,0,1,0,0
4461,54,1,30000,0,0,0,22.3,0,0,0.0,0,0,1,0,0,1,0,0,0,45000.0,86,14.9,0,0,0,1,0
4468,31,0,100000,0,0,0,6.0,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,174,31.9,0,0,1,0,0
4473,52,0,85000,0,0,0,28.9,0,0,0.0,0,0,1,0,0,1,0,0,0,29500.0,329,31.9,0,0,1,0,0
4476,33,1,50000,0,0,0,36.7,0,0,0.0,0,0,1,0,0,1,0,0,0,60000.0,55,35.9,1,0,0,1,0
4485,34,0,50000,0,0,0,13.5,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,359,31.9,0,0,1,0,0
4487,32,1,55000,0,0,0,40.8,0,0,0.0,0,0,1,0,0,0,0,1,0,120000.0,323,31.9,0,0,1,0,0
4489,40,1,120000,0,0,0,48.9,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,359,31.9,0,0,1,0,0
4491,31,0,140000,0,0,0,87.9,0,0,0.0,0,0,1,0,0,0,0,1,0,60001.0,318,31.9,0,0,1,0,0
4529,39,0,115000,0,0,0,90.4,0,0,0.0,0,0,1,0,0,1,0,0,0,40000.0,302,14.9,0,0,0,1,0
