CLIENT_ID,AGE,MAN,INCOME,IP_FLAG,SME_FLAG,REFUGEE_FLAG,PDN,paid_off_count,active_count,active_sum,max_term,credits_delay_count,cards_count,cards_delay_count,MATRIAL_Вдовец / Вдова,MATRIAL_Гражданский брак,MATRIAL_Женат / замужем,MATRIAL_Не женат / не замужем,MATRIAL_Неизвестно,MATRIAL_Разведен / Разведена,DELAY
385,30,1,90000,0,0,0,89.8,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
410,37,1,30000,0,0,0,18.7,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
439,51,1,65000,0,0,0,27.9,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
451,31,1,190000,0,0,0,45.9,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
452,26,1,120000,0,0,0,14.7,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
676,47,1,35000,0,0,0,33.8,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
689,39,1,60000,0,0,0,89.3,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
694,39,0,120000,0,0,0,21.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
700,38,0,220000,0,0,0,57.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
706,66,1,37700,0,0,0,27.6,1,0,0.0,12,0,0,0,0,0,0,1,0,0,False
708,64,1,13100,0,0,0,66.9,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
712,75,1,21500,0,0,0,40.2,0,1,93701.4,24,0,0,0,0,0,0,1,0,0,False
715,22,1,85000,0,0,0,10.9,0,1,56154.22,24,0,0,0,0,1,0,0,0,0,False
722,29,0,100000,0,0,0,47.9,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
724,33,1,85000,0,0,0,56.7,0,1,448126.39,60,0,0,0,0,0,0,0,1,0,False
727,37,1,150000,0,0,0,47.9,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
730,47,0,60000,0,0,0,131.9,0,1,55799.1,24,0,0,0,0,0,0,0,0,1,False
731,28,1,300000,0,0,0,29.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
736,35,1,96800,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
738,33,1,39000,0,0,0,44.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
795,38,1,80000,0,0,0,31.6,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
806,31,1,20000,0,0,0,37.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
807,34,1,180000,0,0,0,139.8,0,1,929999.13,60,0,1,0,0,0,0,0,1,0,False
830,55,0,80000,0,0,0,23.2,0,1,142945.8,24,0,0,0,0,0,1,0,0,0,False
832,37,0,46000,0,0,0,34.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
861,53,0,130000,0,0,0,44.8,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
867,34,1,39000,0,0,0,17.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
904,69,1,28000,0,0,0,78.9,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
925,34,1,83600,0,0,0,44.8,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
967,36,1,130000,0,0,0,136.8,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
969,45,1,110000,0,0,0,34.7,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
982,22,1,80000,0,0,0,8.4,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
987,57,1,46500,0,0,0,32.8,0,1,50400.0,24,0,1,0,0,0,0,0,1,0,False
1002,48,1,150000,0,0,0,30.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1007,40,1,50000,0,0,0,92.2,0,1,823789.52,60,0,1,0,0,0,0,0,1,0,False
1018,54,1,50000,0,0,0,129.4,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
1033,56,1,45000,0,0,0,51.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1040,50,1,50000,0,0,0,50.1,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
1040,50,1,50000,0,0,0,50.1,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
1061,51,0,100000,0,0,0,26.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1070,39,1,75000,0,0,0,74.5,0,1,435998.98,60,0,1,0,0,0,0,0,1,0,False
1097,32,0,50000,0,0,0,22.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1106,48,0,52000,0,0,0,94.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1120,28,1,50000,0,0,0,23.9,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
1121,38,0,430000,0,0,0,89.4,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
1125,47,1,50000,0,0,0,6.5,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
1139,23,1,30000,0,0,0,34.4,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
1146,29,0,80000,0,0,0,32.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1155,39,0,70000,0,0,0,4.1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
1182,65,1,70000,0,0,0,35.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,False
1183,35,1,65000,0,0,0,63.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
1196,45,0,195000,0,0,0,9.2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
1240,54,1,60000,0,0,0,48.3,0,1,47972.63,15,0,0,0,0,0,0,1,0,0,False
1246,46,1,145000,0,0,0,41.8,1,0,0.0,39,1,0,0,0,0,0,0,0,1,True
1247,30,1,215000,0,0,0,105.0,0,1,1359000.0,48,0,0,0,0,0,0,0,1,0,False
1248,47,0,70000,0,0,0,97.0,0,1,685999.6,60,0,0,0,0,0,0,0,1,0,False
1249,28,1,195000,0,0,0,44.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1250,54,0,40000,0,0,0,8.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1253,39,0,45000,0,0,0,10.4,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
1264,55,0,150000,0,0,0,60.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1265,48,1,65000,0,0,0,30.4,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
1276,29,0,87672,0,0,0,39.2,0,1,58618.0,18,0,1,0,0,0,0,0,1,0,False
1278,30,1,40000,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1646,37,1,30000,0,0,0,34.3,0,1,19860.0,24,0,1,0,0,0,1,0,0,0,False
1648,32,0,75000,0,0,0,19.9,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1672,23,0,67000,0,0,0,11.7,0,1,72309.0,24,0,0,0,0,0,0,1,0,0,False
1682,46,1,35000,0,0,0,10.3,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
1692,49,1,100000,0,0,0,36.1,0,1,499998.78,36,0,1,0,0,0,0,1,0,0,False
1693,39,1,28000,0,0,0,22.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1701,34,0,130000,0,0,0,17.8,0,1,64474.0,24,0,0,0,0,0,1,0,0,0,False
1706,40,0,130000,0,0,0,2.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1711,49,1,60000,0,0,0,57.9,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
1750,61,1,120000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1753,41,0,30000,0,0,0,63.7,0,1,35999.0,24,0,0,0,0,0,1,0,0,0,False
1835,34,0,120000,0,0,0,48.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1838,38,0,80000,0,0,0,49.2,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
1838,38,0,80000,0,0,0,49.2,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
1843,33,1,250000,0,0,0,37.3,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
1911,34,0,160000,0,0,0,15.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
1937,21,1,150000,0,0,0,17.1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
1973,55,1,64000,0,0,0,25.6,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
1974,23,0,120000,0,0,0,23.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
1986,32,1,15000,0,0,0,15.4,0,1,15330.0,12,0,0,0,0,0,1,0,0,0,False
2025,40,0,45000,0,0,0,68.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2027,37,1,150000,0,0,0,33.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2033,25,0,80000,0,0,0,26.1,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
2035,54,0,110000,0,0,0,51.7,0,1,299900.0,60,0,0,0,0,0,0,0,1,0,False
2038,41,1,39000,0,0,0,23.6,0,1,521267.74,60,0,1,0,0,0,0,0,1,0,False
2039,30,0,130000,0,0,0,37.0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2049,61,1,150000,0,0,0,54.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2052,22,1,75000,0,0,0,74.7,0,1,360000.0,36,0,0,0,0,0,0,0,1,0,False
2056,50,0,60000,0,0,0,43.3,1,0,0.0,18,0,1,0,0,0,0,0,1,0,False
2059,39,1,60000,0,0,0,22.6,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2064,31,1,50000,0,0,0,34.8,0,1,190000.0,36,0,1,0,0,0,0,0,1,0,False
2066,41,1,50000,0,0,0,102.4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2071,34,1,35000,0,0,0,67.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2074,28,1,91000,0,0,0,94.8,0,1,724999.44,59,0,0,0,0,0,0,0,1,0,False
2084,41,1,130000,0,0,0,28.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2089,32,0,80000,0,0,0,60.7,0,1,52531.0,24,0,0,0,0,0,0,0,0,1,False
2095,51,0,60000,0,0,0,48.9,0,1,144055.0,24,0,2,0,0,0,0,0,1,0,False
2095,51,0,60000,0,0,0,48.9,0,1,144055.0,24,0,2,0,0,0,0,0,1,0,False
2097,58,0,50000,0,0,0,27.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2112,39,1,80000,0,0,0,30.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2116,37,1,45000,0,0,0,59.3,0,1,120000.0,36,0,0,0,0,0,1,0,0,0,False
2124,63,0,70000,0,0,0,16.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2126,35,1,55000,0,0,0,16.5,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2132,51,1,30000,0,0,0,23.0,0,1,20269.08,12,0,1,0,0,0,0,0,1,0,False
2138,52,1,70000,0,0,0,40.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2140,52,1,20000,0,0,0,18.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2147,59,1,180000,0,0,0,23.3,0,0,0.0,0,0,2,0,0,0,0,1,0,0,False
2147,59,1,180000,0,0,0,23.3,0,0,0.0,0,0,2,0,0,0,0,1,0,0,False
2150,34,1,35000,0,0,0,74.3,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2155,44,1,35000,0,0,0,48.9,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
2193,31,1,80000,0,0,0,14.5,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
2200,37,1,35000,0,0,0,19.8,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
2201,47,1,43000,0,0,0,84.9,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2220,27,1,100000,0,0,0,9.5,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2228,24,1,35000,0,0,0,29.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2253,24,1,60000,0,0,0,67.9,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
2290,26,0,29000,0,0,0,30.8,0,1,67155.2,24,0,0,0,0,0,0,0,1,0,False
2298,44,1,95000,0,0,0,77.3,0,1,1284998.73,60,0,1,0,0,0,0,0,1,0,False
2318,51,1,66500,0,0,0,78.4,0,1,110739.0,24,0,0,0,0,0,1,0,0,0,False
2321,66,1,34800,0,0,0,19.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2324,30,0,42000,0,0,0,41.4,0,1,35396.0,24,0,0,0,0,0,0,1,0,0,False
2326,49,1,201000,0,0,0,25.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2339,47,0,100000,0,0,0,89.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2343,51,0,120000,0,0,0,76.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2345,32,0,21800,0,0,0,27.9,0,1,79400.0,24,0,0,0,0,0,1,0,0,0,False
2373,63,1,30000,0,0,0,16.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2377,39,1,120000,0,0,0,7.2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2378,29,0,80000,0,0,0,122.2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2393,33,1,160000,0,0,0,81.4,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
2487,48,1,250000,0,0,0,25.9,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2540,48,0,50000,0,0,0,20.5,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
2563,30,1,115000,0,0,0,41.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2585,35,1,150000,0,0,0,28.5,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2602,61,0,250000,0,0,0,18.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2605,27,1,35000,0,0,0,8.5,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2611,53,1,15000,0,0,0,35.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
2651,36,0,150000,0,0,0,27.4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2875,43,1,40000,0,0,0,45.4,0,1,100000.0,48,0,1,1,0,0,0,0,1,0,True
2910,29,0,66400,0,0,0,64.8,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
2920,41,1,50000,0,0,0,45.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
2928,32,1,80000,0,0,0,20.6,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
2934,39,0,75000,0,0,0,55.5,0,1,299998.12,36,0,1,1,0,0,0,0,1,0,True
2961,28,0,100000,0,0,0,12.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3079,48,0,203000,0,0,0,81.9,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3103,38,0,100000,0,0,0,67.0,0,2,1826900.0,60,0,1,0,0,0,0,0,1,0,False
3103,38,0,100000,0,0,0,67.0,0,2,1826900.0,60,0,1,0,0,0,0,0,1,0,False
3105,51,0,120000,0,0,0,18.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3109,53,1,90000,0,0,0,87.7,1,0,0.0,57,0,1,0,0,0,0,0,1,0,False
3116,39,0,60000,0,0,0,102.7,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
3136,35,1,45500,0,0,0,57.1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
3144,25,0,55000,0,0,0,27.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3145,25,1,250000,0,0,0,9.9,0,1,117110.55,60,0,1,0,0,0,0,0,1,0,False
3147,42,1,55000,0,0,0,72.5,0,1,364889.13,60,0,0,0,0,0,1,0,0,0,False
3167,42,1,65000,0,0,0,22.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3177,43,0,110000,0,0,0,107.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3181,26,1,75000,0,0,0,142.0,0,1,923998.93,59,0,0,0,0,0,0,0,1,0,False
3188,44,1,40000,0,0,0,146.1,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3197,24,0,100000,0,0,0,37.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3201,67,1,308100,0,0,0,29.1,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
3230,44,1,42000,0,0,0,26.1,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3232,31,1,35000,0,0,0,12.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3237,45,0,65000,0,0,0,17.2,0,1,113404.0,24,0,0,0,0,0,1,0,0,0,False
3238,23,1,45000,0,0,0,18.0,0,1,123241.0,24,0,0,0,0,0,0,1,0,0,False
3427,35,1,48000,0,0,0,51.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3428,39,0,120000,0,0,0,3.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3434,47,1,115000,0,0,0,20.7,0,2,63681.3,24,0,0,0,0,0,0,1,0,0,False
3434,47,1,115000,0,0,0,20.7,0,2,63681.3,24,0,0,0,0,0,0,1,0,0,False
3435,42,1,65000,0,0,0,72.4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3438,60,1,61000,0,0,0,41.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3439,27,1,45000,0,0,0,65.9,0,0,0.0,0,0,1,1,0,0,0,0,1,0,True
3440,46,0,250000,0,0,0,17.7,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3442,28,0,40000,0,0,0,5.1,0,1,60634.84,13,0,0,0,0,0,0,1,0,0,False
3447,43,1,108000,0,0,0,36.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3449,46,1,120000,0,0,0,69.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3450,25,1,60000,0,0,0,31.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3451,51,0,75000,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3460,43,0,150000,0,0,0,35.3,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
3464,48,1,80000,0,0,0,32.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3466,33,1,60000,0,0,0,31.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3474,38,1,61000,0,0,0,17.1,1,1,18698.0,24,0,0,0,0,0,0,0,0,1,False
3474,38,1,61000,0,0,0,17.1,1,1,18698.0,24,0,0,0,0,0,0,0,0,1,False
3483,22,1,45000,0,0,0,22.1,0,1,121498.0,24,0,0,0,0,0,0,1,0,0,False
3485,35,0,100000,0,0,0,36.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3489,48,1,45000,0,0,0,51.0,0,1,71546.0,24,0,0,0,0,0,0,0,0,1,False
3491,40,0,10000,0,0,0,43.9,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3493,30,1,33500,0,0,0,45.2,0,1,66976.0,24,0,0,0,0,0,0,1,0,0,False
3495,36,1,185000,0,0,0,29.3,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
3509,25,1,130000,0,0,0,9.1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
3514,37,1,75000,0,0,0,77.2,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3517,28,0,45000,0,0,0,45.3,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3520,51,0,30000,0,0,0,50.9,0,1,28159.0,24,0,1,0,0,0,0,0,1,0,False
3521,36,0,40000,0,0,0,76.7,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3531,22,1,81000,0,0,0,47.9,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
3550,40,0,130000,0,0,0,5.6,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3559,27,1,77000,0,0,0,71.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
3569,22,1,35000,0,0,0,57.7,0,1,299998.38,36,1,0,0,0,0,0,1,0,0,True
3583,48,0,20000,0,0,0,4.0,1,0,0.0,12,1,0,0,0,0,0,1,0,0,True
3592,36,0,45000,0,0,0,13.4,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
3597,44,0,95000,0,0,0,9.4,0,0,0.0,0,0,1,0,0,0,0,0,0,1,False
3600,29,1,65000,0,0,0,70.7,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
3604,55,1,50000,0,0,0,59.7,0,1,327172.0,60,0,0,0,0,0,0,0,1,0,False
3613,53,1,62000,0,0,0,57.3,0,1,43200.0,24,0,0,0,0,0,0,0,0,1,False
3629,27,1,80000,0,0,0,55.7,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
3630,35,1,49000,0,0,0,78.9,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3647,44,1,85000,0,0,0,43.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3648,51,1,80000,0,0,0,26.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3652,24,1,85000,0,0,0,51.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3653,33,1,190000,0,0,0,34.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3656,42,1,114000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3659,47,1,180000,0,0,0,11.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3660,53,1,300000,0,0,0,18.3,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3661,37,0,95000,0,0,0,13.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3662,34,0,78000,0,0,0,8.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3723,32,0,100000,0,0,0,43.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3727,40,0,48000,0,0,0,40.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3728,38,1,55000,0,0,0,86.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3729,48,1,70000,0,0,0,41.3,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3733,38,0,75000,0,0,0,26.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3735,28,1,70000,0,0,0,13.3,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3737,27,1,35000,0,0,0,37.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3743,58,1,50000,0,0,0,14.7,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
3743,58,1,50000,0,0,0,14.7,0,0,0.0,0,0,2,0,0,0,0,0,1,0,False
3751,38,1,225000,0,0,0,30.7,0,1,299998.82,24,0,1,0,0,0,0,0,1,0,False
3753,23,1,20000,0,0,0,19.7,0,2,105239.6,36,0,0,0,0,0,1,0,0,0,False
3753,23,1,20000,0,0,0,19.7,0,2,105239.6,36,0,0,0,0,0,1,0,0,0,False
3777,42,1,40000,0,0,0,36.0,0,1,190000.0,36,0,0,0,0,0,0,1,0,0,False
3808,39,1,35000,0,0,0,64.1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3843,50,0,150000,0,0,0,76.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3849,53,0,80000,0,0,0,11.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3853,54,0,50000,0,0,0,63.6,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3857,54,1,60000,0,0,0,73.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3888,38,1,40000,0,0,0,42.6,0,1,1000000.0,59,0,0,0,0,0,0,0,1,0,False
3889,67,1,15000,0,0,0,145.5,0,1,199276.0,60,0,0,0,0,0,0,0,1,0,False
3918,50,0,115000,0,0,0,30.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3922,42,1,15000,0,0,0,49.0,0,1,26488.0,18,0,0,0,0,0,1,0,0,0,False
3950,53,0,90000,0,0,0,68.7,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3955,45,0,200000,0,0,0,45.2,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
3977,40,1,60000,0,0,0,62.4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3979,32,1,150000,0,0,0,42.4,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
3988,33,1,95000,0,0,0,54.3,0,1,101480.0,36,0,1,0,0,0,1,0,0,0,False
3997,30,1,53000,0,0,0,12.5,0,1,152077.35,48,0,0,0,0,0,0,0,1,0,False
